puzzle,approach,variables,clauses,encoding_time_s
ai-1.clues,2,2126,24399,0.013857364654541016
ai-1.clues,4,5915,32904,0.028922557830810547
apple.clues,2,556,3455,0.003451108932495117
apple.clues,4,2276,13647,0.012907743453979492
arrow-1.clues,2,362,1703,0.0025136470794677734
arrow-1.clues,4,1078,4580,0.0028944015502929688
big-dipper.clues,2,6975,122177,0.04124593734741211
big-dipper.clues,4,20376,89486,0.08568263053894043
circle-1.clues,2,4775,129640,0.04586505889892578
circle-1.clues,4,15920,136810,0.09863400459289551
cowboy.clues,2,7011,142466,0.061301231384277344
cowboy.clues,4,22460,135648,0.1229715347290039
framed.clues,2,5377,97185,0.03977537155151367
framed.clues,4,13107,159000,0.09846878051757812
good-game-1.clues,2,29601,1041031,0.7200784683227539
good-game-1.clues,4,86756,1419550,1.4460952281951904
house.clues,2,656,5099,0.14011454582214355
house.clues,4,1980,10190,0.006415843963623047
leaf.clues,2,3325,52937,0.02152872085571289
leaf.clues,4,10309,126153,0.0769035816192627
logo.clues,2,2956,51204,0.024930953979492188
logo.clues,4,7051,76432,0.04144406318664551
mandala-2.clues,2,16851,402124,0.16990995407104492
mandala-2.clues,4,43653,584225,0.5592436790466309
math-2.clues,2,985,12167,0.057935476303100586
math-2.clues,4,2666,16312,0.022701740264892578
maze-1.clues,2,8722,191323,0.07300090789794922
maze-1.clues,4,24630,317506,0.21643471717834473
nonogram.clues,2,34889,1312146,0.6771094799041748
nonogram.clues,4,85031,1529747,1.3356311321258545
ocean.clues,2,17760,473043,0.31259846687316895
ocean.clues,4,50303,467898,0.3819751739501953
ornament-2.clues,2,5837,154490,0.0689692497253418
ornament-2.clues,4,16723,328700,0.17824935913085938
shapes-1.clues,2,830,7445,0.0929417610168457
shapes-1.clues,4,2933,16361,0.023519039154052734
shapes-2.clues,2,4093,61746,0.02231121063232422
shapes-2.clues,4,10900,58151,0.042250871658325195
shapes-3.clues,2,2276,26203,0.014391899108886719
shapes-3.clues,4,5808,43557,0.030765771865844727
snake-1.clues,2,19952,638378,0.3148226737976074
snake-1.clues,4,67494,977050,0.6876027584075928
spiral-3.clues,2,2246,25868,0.07119131088256836
spiral-3.clues,4,5954,33620,0.02962803840637207
stripes-1.clues,2,3329,55600,0.022131919860839844
stripes-1.clues,4,9731,71791,0.060417890548706055
trees-1.clues,2,2039,26506,0.014731645584106445
trees-1.clues,4,5961,46938,0.03778195381164551
triangle-1.clues,2,1192,11825,0.008144617080688477
triangle-1.clues,4,4023,21872,0.031484365463256836
two-trees.clues,2,1300,13935,0.02065730094909668
two-trees.clues,4,5551,47728,0.05105853080749512
