puzzle,approach,variables,clauses,encoding_time_s
random2-002.clues,2,18,42,0.00017142295837402344
random2-002.clues,4,50,138,0.0004782676696777344
random2-003.clues,2,32,90,0.0002789497375488281
random2-003.clues,4,130,430,0.0011854171752929688
random2-004.clues,2,46,113,0.0002753734588623047
random2-004.clues,4,132,333,0.0008516311645507812
random2-005.clues,2,105,345,0.0006477832794189453
random2-005.clues,4,308,1064,0.0037293434143066406
random2-006.clues,2,182,878,0.001371622085571289
random2-006.clues,4,646,2879,0.0054073333740234375
random2-007.clues,2,190,869,0.0013988018035888672
random2-007.clues,4,762,3240,0.005950212478637695
random2-009.clues,2,456,2980,0.0036406517028808594
random2-009.clues,4,1252,5630,0.009633302688598633
random2-010.clues,2,384,2084,0.002783536911010742
random2-010.clues,4,1179,4407,0.007953166961669922
random2-011.clues,2,680,5219,0.004864931106567383
random2-011.clues,4,1982,9128,0.014951705932617188
random2-012.clues,2,980,8957,0.007193088531494141
random2-012.clues,4,2719,13872,0.01953744888305664
random2-013.clues,2,926,8142,0.0058405399322509766
random2-013.clues,4,2816,14064,0.0211031436920166
random2-014.clues,2,1024,8979,0.006255149841308594
random2-014.clues,4,2867,13423,0.016524553298950195
random2-015.clues,2,1464,15794,0.021051645278930664
random2-015.clues,4,4290,22750,0.05724835395812988
random2-016.clues,2,1426,14495,0.017922639846801758
random2-016.clues,4,3980,20109,0.04510188102722168
random2-017.clues,2,1680,18518,0.015424251556396484
random2-017.clues,4,4484,22676,0.03522133827209473
random2-018.clues,2,2582,36947,0.024521827697753906
random2-018.clues,4,8077,54867,0.06467556953430176
random2-019.clues,2,2316,33631,0.01938796043395996
random2-019.clues,4,11842,104206,0.09615659713745117
random2-020.clues,2,2596,34810,0.019976377487182617
random2-020.clues,4,6953,36771,0.05066227912902832
random2-021.clues,2,3823,65417,0.03539419174194336
random2-021.clues,4,12608,101144,0.12749361991882324
random2-022.clues,2,2798,37985,0.04008364677429199
random2-022.clues,4,7224,37542,0.04781460762023926
random2-023.clues,2,3935,65075,0.034943580627441406
random2-023.clues,4,11138,74326,0.07716870307922363
random2-024.clues,2,3980,65098,0.04312586784362793
random2-024.clues,4,10702,62434,0.06185126304626465
random2-025.clues,2,5627,112627,0.07322072982788086
random2-025.clues,4,17630,142570,0.1374373435974121
random2-026.clues,2,5786,124836,0.0966176986694336
random2-026.clues,4,27110,294388,0.29622602462768555
random2-028.clues,2,6528,147150,0.1463792324066162
random2-028.clues,4,29263,306503,0.3319997787475586
random2-029.clues,2,7253,157583,0.09410834312438965
random2-029.clues,4,19682,138088,0.16183972358703613
random2-030.clues,2,7194,162349,0.10821843147277832
random2-030.clues,4,27747,263002,0.3788747787475586
random2-031.clues,2,11256,293041,0.24260687828063965
random2-031.clues,4,31618,300990,0.3163108825683594
random2-032.clues,2,9816,244396,0.21575140953063965
random2-032.clues,4,26270,207618,0.2536740303039551
random2-033.clues,2,9731,267241,0.21386480331420898
random2-033.clues,4,49948,621122,0.6402459144592285
random2-034.clues,2,15132,468958,0.4351627826690674
random2-034.clues,4,63632,903799,1.0306034088134766
random2-035.clues,2,14291,417451,0.3068835735321045
random2-035.clues,4,42446,436040,0.5085749626159668
random2-036.clues,2,14790,448987,0.4640638828277588
random2-036.clues,4,51765,567214,0.6821913719177246
random2-037.clues,2,13163,380782,0.2697615623474121
random2-037.clues,4,39712,373910,0.4400925636291504
random2-038.clues,2,11512,309767,0.19823002815246582
random2-038.clues,4,32645,231419,0.27550530433654785
random2-039.clues,2,15395,466615,0.34255146980285645
random2-039.clues,4,41282,359166,0.39083051681518555
random2-040.clues,2,14836,498811,0.3754153251647949
random2-040.clues,4,97090,1581708,1.127047061920166
random2-041.clues,2,18530,605849,0.6012673377990723
random2-041.clues,4,49814,459072,0.23207783699035645
random2-042.clues,2,16406,573916,0.4187748432159424
random2-042.clues,4,119026,2111473,1.7350647449493408
random2-043.clues,2,19402,705617,0.5131869316101074
random2-043.clues,4,109914,1795738,1.2796998023986816
random2-044.clues,2,22658,848922,0.44336843490600586
random2-044.clues,4,109982,1706227,1.3879261016845703
random2-045.clues,2,24812,928750,0.4598114490509033
random2-045.clues,4,77650,896604,0.843069314956665
random2-046.clues,2,19580,698703,0.33193302154541016
random2-046.clues,4,79432,900279,0.7132601737976074
random2-047.clues,2,22302,845620,0.578779935836792
random2-047.clues,4,96098,1287378,0.9925568103790283
random2-048.clues,2,29090,1157634,0.7780206203460693
random2-048.clues,4,81783,895214,0.7767906188964844
random2-049.clues,2,28563,1201347,0.6734225749969482
random2-049.clues,4,129452,1986462,1.7021510601043701
random2-050.clues,2,28278,1142041,0.5294535160064697
random2-050.clues,4,82928,892043,0.7162268161773682
random2-051.clues,2,38475,1703790,1.1760807037353516
random2-051.clues,4,119550,1567196,1.103942632675171
random2-052.clues,2,36478,1607988,0.9816601276397705
random2-052.clues,4,113263,1458092,1.085867166519165
random2-053.clues,2,46690,2264132,1.4503538608551025
random2-053.clues,4,194510,3510184,2.250114917755127
random2-054.clues,2,44468,2083453,1.6437785625457764
random2-054.clues,4,131562,1770826,0.970069169998169
random2-055.clues,2,43889,2047268,1.1724088191986084
random2-055.clues,4,118162,1366986,1.1760461330413818
random2-056.clues,2,34696,1575151,0.828178882598877
random2-056.clues,4,134579,1694951,1.3046607971191406
random2-057.clues,2,42978,2120924,1.57706880569458
random2-057.clues,4,207990,3837058,2.2631821632385254
random2-058.clues,2,46970,2468227,1.7676286697387695
random2-058.clues,4,309752,7396291,4.968240976333618
random2-059.clues,2,50026,2570303,1.6495370864868164
random2-059.clues,4,197882,3226134,1.974475622177124
random2-060.clues,2,61500,3402937,2.1317875385284424
random2-060.clues,4,303111,6785086,4.379505634307861
random2-061.clues,2,56689,2992880,1.638411283493042
random2-061.clues,4,179802,2646178,2.2271921634674072
random2-062.clues,2,55382,3037508,1.7965352535247803
random2-062.clues,4,286778,5846925,4.4342169761657715
random2-063.clues,2,50924,2913848,2.3434906005859375
random2-063.clues,4,416002,11123182,6.956495046615601
random2-064.clues,2,58444,3430134,2.285550594329834
random2-064.clues,4,412687,10709302,7.161668539047241
random2-065.clues,2,53233,2879152,2.2961971759796143
random2-065.clues,4,198530,2843722,1.8921465873718262
random2-066.clues,2,58602,3229705,1.8211863040924072
random2-066.clues,4,188473,2397319,1.9166474342346191
random2-067.clues,2,56951,3277194,1.8262324333190918
random2-067.clues,4,340206,7532000,5.296152353286743
random2-068.clues,2,84346,5229983,3.155376672744751
random2-068.clues,4,367841,8116286,6.019113779067993
random2-069.clues,2,80644,4956021,2.5194249153137207
random2-069.clues,4,302402,5351320,3.9399938583374023
random2-070.clues,2,62656,3753697,2.2105062007904053
random2-070.clues,4,345985,7033941,4.40596342086792
random2-071.clues,2,73369,4639581,2.7890427112579346
random2-071.clues,4,445322,11065180,8.341939687728882
random2-072.clues,2,109696,7328331,4.637777805328369
random2-072.clues,4,440411,9955052,5.401127576828003
random2-073.clues,2,71630,4301034,3.0449907779693604
random2-073.clues,4,200246,2496592,1.8162212371826172
random2-074.clues,2,78602,4850312,2.3199920654296875
random2-074.clues,4,215252,2725225,2.279289960861206
random2-075.clues,2,64225,3872686,2.2363197803497314
random2-075.clues,4,270638,4527484,3.2460787296295166
random2-076.clues,2,99590,6991622,5.012109756469727
random2-076.clues,4,598677,16239140,11.447210550308228
random2-077.clues,2,78556,5141066,1.9721379280090332
