puzzle,approach,variables,clauses,encoding_time_s
stairs-001.clues,2,6,12,8.58306884765625e-05
stairs-001.clues,4,14,34,0.00017118453979492188
stairs-002.clues,2,18,42,0.00015401840209960938
stairs-002.clues,4,50,138,0.0004572868347167969
stairs-003.clues,2,38,99,0.0002658367156982422
stairs-003.clues,4,106,310,0.0009722709655761719
stairs-004.clues,2,66,192,0.0004341602325439453
stairs-004.clues,4,182,548,0.0014350414276123047
stairs-005.clues,2,102,327,0.0007140636444091797
stairs-005.clues,4,278,852,0.003092050552368164
stairs-006.clues,2,146,510,0.0008957386016845703
stairs-006.clues,4,394,1222,0.0031104087829589844
stairs-007.clues,2,198,747,0.001272439956665039
stairs-007.clues,4,530,1658,0.0038056373596191406
stairs-008.clues,2,258,1044,0.0014832019805908203
stairs-008.clues,4,686,2160,0.0048809051513671875
stairs-009.clues,2,326,1407,0.0018568038940429688
stairs-009.clues,4,862,2728,0.006068229675292969
stairs-010.clues,2,402,1842,0.0023136138916015625
stairs-010.clues,4,1058,3362,0.006680011749267578
stairs-011.clues,2,486,2355,0.002596139907836914
stairs-011.clues,4,1274,4062,0.008188962936401367
stairs-012.clues,2,578,2952,0.0030667781829833984
stairs-012.clues,4,1510,4828,0.009339570999145508
stairs-013.clues,2,678,3639,0.0034017562866210938
stairs-013.clues,4,1766,5660,0.010739326477050781
stairs-014.clues,2,786,4422,0.003763914108276367
stairs-014.clues,4,2042,6558,0.011801481246948242
stairs-015.clues,2,902,5307,0.0045413970947265625
stairs-015.clues,4,2338,7522,0.012726306915283203
stairs-016.clues,2,1026,6300,0.004522085189819336
stairs-016.clues,4,2654,8552,0.013406753540039062
stairs-017.clues,2,1158,7407,0.007713794708251953
stairs-017.clues,4,2990,9648,0.01461935043334961
stairs-018.clues,2,1298,8634,0.0055735111236572266
stairs-018.clues,4,3346,10810,0.015225887298583984
stairs-019.clues,2,1446,9987,0.005926847457885742
stairs-019.clues,4,3722,12038,0.016756772994995117
stairs-020.clues,2,1602,11472,0.006703376770019531
stairs-020.clues,4,4118,13332,0.01842665672302246
stairs-021.clues,2,1766,13095,0.010479211807250977
stairs-021.clues,4,4534,14692,0.020107507705688477
stairs-022.clues,2,1938,14862,0.00826716423034668
stairs-022.clues,4,4970,16118,0.022415637969970703
stairs-023.clues,2,2118,16779,0.00924062728881836
stairs-023.clues,4,5426,17610,0.02419567108154297
stairs-024.clues,2,2306,18852,0.013279199600219727
stairs-024.clues,4,5902,19168,0.026024580001831055
stairs-025.clues,2,2502,21087,0.011053323745727539
stairs-025.clues,4,6398,20792,0.028802871704101562
stairs-026.clues,2,2706,23490,0.015386581420898438
stairs-026.clues,4,6914,22482,0.03134870529174805
stairs-027.clues,2,2918,26067,0.013445138931274414
stairs-027.clues,4,7450,24238,0.04896092414855957
stairs-028.clues,2,3138,28824,0.032750606536865234
stairs-028.clues,4,8006,26060,0.06412243843078613
stairs-029.clues,2,3366,31767,0.029996156692504883
stairs-029.clues,4,8582,27948,0.05086946487426758
stairs-030.clues,2,3602,34902,0.019929170608520508
stairs-030.clues,4,9178,29902,0.049974918365478516
stairs-031.clues,2,3846,38235,0.02001810073852539
stairs-031.clues,4,9794,31922,0.09981369972229004
stairs-032.clues,2,4098,41772,0.029565811157226562
stairs-032.clues,4,10430,34008,0.06092643737792969
stairs-033.clues,2,4358,45519,0.0297698974609375
stairs-033.clues,4,11086,36160,0.0512239933013916
stairs-034.clues,2,4626,49482,0.028548240661621094
stairs-034.clues,4,11762,38378,0.05266284942626953
stairs-035.clues,2,4902,53667,0.031064987182617188
stairs-035.clues,4,12458,40662,0.06613945960998535
stairs-036.clues,2,5186,58080,0.02612781524658203
stairs-036.clues,4,13174,43012,0.06672000885009766
stairs-037.clues,2,5478,62727,0.037717342376708984
stairs-037.clues,4,13910,45428,0.06322860717773438
stairs-038.clues,2,5778,67614,0.04199719429016113
stairs-038.clues,4,14666,47910,0.0775766372680664
stairs-039.clues,2,6086,72747,0.03286266326904297
stairs-039.clues,4,15442,50458,0.0763695240020752
stairs-040.clues,2,6402,78132,0.042751312255859375
stairs-040.clues,4,16238,53072,0.09176325798034668
stairs-041.clues,2,6726,83775,0.04951071739196777
stairs-041.clues,4,17054,55752,0.09076380729675293
stairs-042.clues,2,7058,89682,0.05071902275085449
stairs-042.clues,4,17890,58498,0.09639263153076172
stairs-043.clues,2,7398,95859,0.0521697998046875
stairs-043.clues,4,18746,61310,0.09728479385375977
stairs-044.clues,2,7746,102312,0.05382966995239258
stairs-044.clues,4,19622,64188,0.10063314437866211
stairs-045.clues,2,8102,109047,0.07513928413391113
stairs-045.clues,4,20518,67132,0.11735415458679199
stairs-046.clues,2,8466,116070,0.06898117065429688
stairs-046.clues,4,21434,70142,0.11737608909606934
stairs-047.clues,2,8838,123387,0.06693243980407715
stairs-047.clues,4,22370,73218,0.12383413314819336
stairs-048.clues,2,9218,131004,0.08092355728149414
stairs-048.clues,4,23326,76360,0.12834429740905762
stairs-049.clues,2,9606,138927,0.07320404052734375
stairs-049.clues,4,24302,79568,0.15498590469360352
stairs-050.clues,2,10002,147162,0.08069491386413574
