puzzle,approach,variables,clauses,encoding_time_s
stripes-001.clues,2,6,12,8.702278137207031e-05
stripes-001.clues,4,14,34,0.0001678466796875
stripes-002.clues,2,18,42,0.00015616416931152344
stripes-002.clues,4,50,138,0.00046563148498535156
stripes-003.clues,2,38,99,0.00027060508728027344
stripes-003.clues,4,106,310,0.0009961128234863281
stripes-004.clues,2,62,178,0.00040721893310546875
stripes-004.clues,4,172,502,0.0013484954833984375
stripes-005.clues,2,114,410,0.0008566379547119141
stripes-005.clues,4,302,982,0.0034198760986328125
stripes-006.clues,2,186,843,0.0014424324035644531
stripes-006.clues,4,492,1761,0.004149436950683594
stripes-007.clues,2,272,1465,0.001960277557373047
stripes-007.clues,4,738,2886,0.0060214996337890625
stripes-008.clues,2,392,2478,0.0032587051391601562
stripes-008.clues,4,1064,4632,0.008525609970092773
stripes-009.clues,2,530,3831,0.003846406936645508
stripes-009.clues,4,1462,6908,0.011372089385986328
stripes-010.clues,2,688,5562,0.005599021911621094
stripes-010.clues,4,1916,9564,0.014549493789672852
stripes-011.clues,2,855,7561,0.006428956985473633
stripes-011.clues,4,2390,12372,0.0167694091796875
stripes-012.clues,2,1090,10694,0.008043050765991211
stripes-012.clues,4,3044,16760,0.023520708084106445
stripes-013.clues,2,1364,14716,0.009522199630737305
stripes-013.clues,4,3810,22224,0.02399897575378418
stripes-014.clues,2,1664,19548,0.011347293853759766
stripes-014.clues,4,4682,28856,0.03175210952758789
stripes-015.clues,2,2024,25783,0.01369786262512207
stripes-015.clues,4,5698,37374,0.03415656089782715
stripes-016.clues,2,2414,33106,0.022397279739379883
stripes-016.clues,4,6836,47296,0.04149818420410156
stripes-017.clues,2,2836,41577,0.027510643005371094
stripes-017.clues,4,8066,58170,0.0497736930847168
stripes-018.clues,2,3272,50891,0.03181910514831543
stripes-018.clues,4,9331,69517,0.06751847267150879
stripes-019.clues,2,3816,63119,0.031154632568359375
stripes-019.clues,4,10882,84642,0.07661032676696777
stripes-020.clues,2,4418,77457,0.04511690139770508
stripes-020.clues,4,12602,102131,0.09044170379638672
stripes-021.clues,2,5058,93645,0.0533444881439209
stripes-021.clues,4,14478,122094,0.1769258975982666
stripes-022.clues,2,5784,112858,0.1015615463256836
stripes-022.clues,4,16562,145888,0.21934819221496582
stripes-023.clues,2,6552,134327,0.06725692749023438
stripes-023.clues,4,18818,172374,0.11129093170166016
stripes-024.clues,2,7364,158134,0.11243653297424316
stripes-024.clues,4,21202,200644,0.197037935256958
stripes-025.clues,2,8195,183681,0.12549042701721191
stripes-025.clues,4,23636,229884,0.17410993576049805
stripes-026.clues,2,9174,214734,0.10829973220825195
