puzzle,approach,variables,clauses,encoding_time_s
wedges-001.clues,2,6,12,9.632110595703125e-05
wedges-001.clues,4,14,34,0.00016999244689941406
wedges-002.clues,2,18,42,0.000152587890625
wedges-002.clues,4,50,138,0.0004534721374511719
wedges-003.clues,2,46,134,0.0003528594970703125
wedges-003.clues,4,122,394,0.0011832714080810547
wedges-004.clues,2,76,246,0.0005333423614501953
wedges-004.clues,4,202,670,0.0017898082733154297
wedges-005.clues,2,126,478,0.0008664131164550781
wedges-005.clues,4,326,1154,0.003717184066772461
wedges-006.clues,2,174,716,0.0013065338134765625
wedges-006.clues,4,450,1598,0.003762960433959961
wedges-007.clues,2,246,1150,0.0017485618591308594
wedges-007.clues,4,626,2298,0.004903316497802734
wedges-008.clues,2,312,1554,0.0020194053649902344
wedges-008.clues,4,794,2910,0.006284236907958984
wedges-009.clues,2,406,2246,0.0026671886444091797
wedges-009.clues,4,1022,3826,0.0075299739837646484
wedges-010.clues,2,490,2856,0.003394603729248047
wedges-010.clues,4,1234,4606,0.008597850799560547
wedges-011.clues,2,606,3862,0.004283428192138672
wedges-011.clues,4,1514,5738,0.010118961334228516
wedges-012.clues,2,708,4718,0.0046651363372802734
wedges-012.clues,4,1770,6686,0.011224031448364258
wedges-013.clues,2,846,6094,0.005141496658325195
wedges-013.clues,4,2102,8034,0.01311945915222168
wedges-014.clues,2,966,7236,0.005565643310546875
wedges-014.clues,4,2402,9150,0.014158010482788086
wedges-015.clues,2,1126,9038,0.008783578872680664
wedges-015.clues,4,2786,10714,0.015541315078735352
wedges-016.clues,2,1264,10506,0.006887197494506836
wedges-016.clues,4,3130,11998,0.016063690185546875
wedges-017.clues,2,1446,12790,0.0077190399169921875
wedges-017.clues,4,3566,13778,0.01749110221862793
wedges-018.clues,2,1602,14624,0.008049726486206055
wedges-018.clues,4,3954,15230,0.022918701171875
wedges-019.clues,2,1806,17446,0.009302616119384766
wedges-019.clues,4,4442,17226,0.021777629852294922
wedges-020.clues,2,1980,19686,0.010193109512329102
wedges-020.clues,4,4874,18846,0.024255990982055664
wedges-021.clues,2,2206,23102,0.01512765884399414
wedges-021.clues,4,5414,21058,0.027197837829589844
wedges-022.clues,2,2398,25788,0.012506961822509766
wedges-022.clues,4,5890,22846,0.029343605041503906
wedges-023.clues,2,2646,29854,0.018077373504638672
wedges-023.clues,4,6482,25274,0.03245234489440918
wedges-024.clues,2,2856,33026,0.015582084655761719
wedges-024.clues,4,7002,27230,0.03953051567077637
wedges-025.clues,2,3126,37798,0.017861127853393555
wedges-025.clues,4,7646,29874,0.03825640678405762
wedges-026.clues,2,3354,41496,0.022652626037597656
wedges-026.clues,4,8210,31998,0.04120802879333496
wedges-027.clues,2,3646,47030,0.02625417709350586
wedges-027.clues,4,8906,34858,0.045232295989990234
wedges-028.clues,2,3892,51294,0.02813887596130371
wedges-028.clues,4,9514,37150,0.04783320426940918
wedges-029.clues,2,4206,57646,0.030330181121826172
wedges-029.clues,4,10262,40226,0.06058788299560547
wedges-030.clues,2,4470,62516,0.027716398239135742
wedges-030.clues,4,10914,42686,0.06276440620422363
wedges-031.clues,2,4806,69742,0.03893733024597168
wedges-031.clues,4,11714,45978,0.060297250747680664
wedges-032.clues,2,5088,75258,0.04021763801574707
wedges-032.clues,4,12410,48606,0.07274222373962402
wedges-033.clues,2,5446,83414,0.045287370681762695
wedges-033.clues,4,13262,52114,0.06674623489379883
wedges-034.clues,2,5746,89616,0.04591703414916992
wedges-034.clues,4,14002,54910,0.08114504814147949
wedges-035.clues,2,6126,98758,0.05223417282104492
wedges-035.clues,4,14906,58634,0.08798980712890625
wedges-036.clues,2,6444,105686,0.05585908889770508
wedges-036.clues,4,15690,61598,0.09321331977844238
wedges-037.clues,2,6846,115870,0.0595097541809082
wedges-037.clues,4,16646,65538,0.09841203689575195
wedges-038.clues,2,7182,123564,0.06219601631164551
wedges-038.clues,4,17474,68670,0.10933995246887207
wedges-039.clues,2,7606,134846,0.07949495315551758
wedges-039.clues,4,18482,72826,0.11419320106506348
wedges-040.clues,2,7960,143346,0.07085657119750977
wedges-040.clues,4,19354,76126,0.1129608154296875
wedges-041.clues,2,8406,155782,0.09152555465698242
wedges-041.clues,4,20414,80498,0.12076616287231445
wedges-042.clues,2,8778,165128,0.09706306457519531
wedges-042.clues,4,21330,83966,0.2528848648071289
wedges-043.clues,2,9246,178774,0.10310816764831543
wedges-043.clues,4,22442,88554,0.13633203506469727
wedges-044.clues,2,9636,189006,0.10364103317260742
wedges-044.clues,4,23402,92190,0.16737842559814453
wedges-045.clues,2,10126,203918,0.12217235565185547
wedges-045.clues,4,24566,96994,0.15056753158569336
wedges-046.clues,2,10534,215076,0.14560198783874512
wedges-046.clues,4,25570,100798,0.17618465423583984
wedges-047.clues,2,11046,231310,0.12459158897399902
wedges-047.clues,4,26786,105818,0.1355152130126953
wedges-048.clues,2,11472,243434,0.09723639488220215
wedges-048.clues,4,27834,109790,0.14046740531921387
wedges-049.clues,2,12006,261046,0.13453078269958496
wedges-049.clues,4,29102,115026,0.12844133377075195
wedges-050.clues,2,12450,274176,0.13711762428283691
wedges-050.clues,4,30194,119166,0.13130712509155273
wedges-051.clues,2,13006,293222,0.15985679626464844
wedges-051.clues,4,31514,124618,0.14056158065795898
wedges-052.clues,2,13468,307398,0.14790058135986328
wedges-052.clues,4,32650,128926,0.14231467247009277
wedges-053.clues,2,14046,327934,0.17038488388061523
wedges-053.clues,4,34022,134594,0.1497490406036377
wedges-054.clues,2,14526,343196,0.18865633010864258
wedges-054.clues,4,35202,139070,0.15688514709472656
wedges-055.clues,2,15126,365278,0.1938166618347168
wedges-055.clues,4,36626,144954,0.15923380851745605
wedges-056.clues,2,15624,381666,0.1966705322265625
wedges-056.clues,4,37850,149598,0.20830464363098145
wedges-057.clues,2,16246,405350,0.241835355758667
wedges-057.clues,4,39326,155698,0.18167471885681152
wedges-058.clues,2,16762,422904,0.20059514045715332
wedges-058.clues,4,40594,160510,0.22504854202270508
wedges-059.clues,2,17406,448246,0.25261640548706055
wedges-059.clues,4,42122,166826,0.19663548469543457
wedges-060.clues,2,17940,467006,0.21413707733154297
wedges-060.clues,4,43434,171806,0.23315882682800293
wedges-061.clues,2,18606,494062,0.27057576179504395
wedges-061.clues,4,45014,178338,0.20470619201660156
wedges-062.clues,2,19158,514068,0.30217409133911133
wedges-062.clues,4,46370,183486,0.21909260749816895
wedges-063.clues,2,19846,542894,0.2827165126800537
wedges-063.clues,4,48002,190234,0.22169828414916992
wedges-064.clues,2,20416,564186,0.3180420398712158
wedges-064.clues,4,49402,195550,0.226318359375
wedges-065.clues,2,21126,594838,0.33417272567749023
wedges-065.clues,4,51086,202514,0.2349681854248047
wedges-066.clues,2,21714,617456,0.33671045303344727
wedges-066.clues,4,52530,207998,0.2398681640625
wedges-067.clues,2,22446,649990,0.3904862403869629
wedges-067.clues,4,54266,215178,0.2615957260131836
wedges-068.clues,2,23052,673974,0.3495056629180908
wedges-068.clues,4,55754,220830,0.26551175117492676
wedges-069.clues,2,23806,708446,0.4245283603668213
wedges-069.clues,4,57542,228226,0.27411890029907227
wedges-070.clues,2,24430,733836,0.4186539649963379
